time,first_name,last_name
7:00 AM,Shaun,Micheel
7:00 AM,Braden,Shattuck
7:00 AM,Steven,Alker
7:05 AM,Trey,Mullinax
7:05 AM,Josh,Speight
7:05 AM,Kazuki,Higa
7:11 AM,Ben,Griffin
7:11 AM,Chris,French
7:11 AM,Joel,Dahmen
7:16 AM,Adam,Schenk
7:16 AM,Colin,Inglis
7:16 AM,Thriston,Lawrence
7:22 AM,Wyatt,Worthington II
7:22 AM,Nico,Echavarria
7:22 AM,Wyndham,Clark
7:27 AM,Min Woo,Lee
7:27 AM,Andrew,Putnam
7:27 AM,Emiliano,Grillo
7:33 AM,Tom,Hoge
7:33 AM,Ryan,Fox
7:33 AM,K.H.,Lee
7:38 AM,Harold,Varner III
7:38 AM,Scott,Stallings
7:38 AM,Nicolai,Højgaard
7:44 AM,Sam,Stevens
7:44 AM,Adam,Svensson
7:44 AM,Beau,Hossler
7:49 AM,Steve,Holmes
7:49 AM,Adrian,Otaegui
7:49 AM,Davis,Riley
7:55 AM,Zach,Johnson
7:55 AM,Kurt,Kitayama
7:55 AM,Sahith,Theegala
8:00 AM,Scottie,Scheffler
8:00 AM,Brooks,Koepka
8:00 AM,Gary,Woodland
8:06 AM,Corey,Conners
8:06 AM,Ockie,Strydom
8:06 AM,Joaquin,Niemann
8:11 AM,Rory,McIlroy
8:11 AM,Justin,Thomas
8:11 AM,Collin,Morikawa
8:17 AM,Kevin,Kisner
8:17 AM,Jimmy,Walker
8:17 AM,Padraig,Harrington
8:22 AM,Shane,Lowry
8:22 AM,Jordan,Spieth
8:22 AM,Viktor,Hovland
8:28 AM,Alex,Noren
8:28 AM,J.T.,Poston
8:28 AM,Mackenzie,Hughes
8:33 AM,Matt,Fitzpatrick
8:33 AM,Cameron,Smith
8:33 AM,Jon,Rahm
8:39 AM,Lee,Hodges
8:39 AM,Callum,Tarren
8:39 AM,David,Lingmerth
8:44 AM,Luke,Donald
8:44 AM,Adrian,Meronk
8:44 AM,Yannik,Paul
8:50 AM,Taylor,Moore
8:50 AM,Denny,McCarthy
8:50 AM,Brendan,Steele
8:55 AM,Kenny,Pigman
8:55 AM,Davis,Thompson
8:55 AM,Maverick,McNealy
9:01 AM,Jeremy,Wells
9:01 AM,Justin,Suh
9:01 AM,Adri,Arnaus
9:06 AM,Keegan,Bradley
9:06 AM,Jason,Day
9:06 AM,Bryson,DeChambeau
9:12 AM,Anthony,Cordes
9:12 AM,Mark,Hubbard
9:12 AM,Dean,Burmester
9:17 AM,Jesse,Droemer
9:17 AM,Matt,NeSmith
9:17 AM,Rikuya,Hoshino
12:25 PM,Sam,Ryder
12:25 PM,Gabe,Reynolds
12:25 PM,Brandon,Wu
12:30 PM,Matt,Cahill
12:30 PM,Taylor,Montgomery
12:30 PM,Cam,Davis
12:36 PM,Sadom,Kaewkanjana
12:36 PM,Ben,Kern
12:36 PM,Thorbjørn,Olesen
12:41 PM,Michael,Block
12:41 PM,Hayden,Buckley
12:41 PM,Taylor,Pendrith
12:47 PM,Webb,Simpson
12:47 PM,Y.E.,Yang
12:47 PM,Danny,Willett
12:52 PM,Alex,Beach
12:52 PM,Brendon,Todd
12:52 PM,Sihwan,Kim
12:58 PM,Sepp,Straka
12:58 PM,Harris,English
12:58 PM,Robert,MacIntyre
1:03 PM,Patrick,Reed
1:03 PM,Rasmus,Højgaard
1:03 PM,Nick,Taylor
1:09 PM,Thomas,Pieters
1:09 PM,Keith,Mitchell
1:09 PM,Pablo,Larrazabal
1:14 PM,Christiaan,Bezuidenhout
1:14 PM,John,Somers
1:14 PM,Chez,Reavie
1:20 PM,Lucas,Herbert
1:20 PM,Brian,Harman
1:20 PM,Callum,Shinkwin
1:25 PM,Tommy,Fleetwood
1:25 PM,Cameron,Young
1:25 PM,Hideki,Matsuyama
1:31 PM,Tom,Kim
1:31 PM,Sam,Burns
1:31 PM,Abraham,Ancer
1:36 PM,Adam,Scott
1:36 PM,Max,Homa
1:36 PM,Tony,Finau
1:42 PM,Sungjae,Im
1:42 PM,Chris,Kirk
1:42 PM,Seamus,Power
1:47 PM,Xander,Schauffele
1:47 PM,Tyrrell,Hatton
1:47 PM,Dustin,Johnson
1:53 PM,Si Woo,Kim
1:53 PM,Stephan,Jaeger
1:53 PM,Anirban,Lahiri
1:58 PM,Patrick,Cantlay
1:58 PM,Rickie,Fowler
1:58 PM,Phil,Mickelson
2:04 PM,Victor,Perez
2:04 PM,Aaron,Wise
2:04 PM,Jordan,Smith
2:09 PM,Alex,Smalley
2:09 PM,Russell,Henley
2:09 PM,Mito,Pereira
2:15 PM,Chris,Sanger
2:15 PM,J.J.,Spaun
2:15 PM,David,Micheluzzi
2:20 PM,Adam,Hadwin
2:20 PM,Matt,Kuchar
2:20 PM,Talor,Gooch
2:26 PM,Thomas,Detry
2:26 PM,J.J.,Killeen
2:26 PM,Matt,Wallace
2:31 PM,Justin,Rose
2:31 PM,Billy,Horschel
2:31 PM,Francesco,Molinari
2:37 PM,Nick,Hardy
2:37 PM,Greg,Koch
2:37 PM,Eric,Cole
2:42 PM,Russell,Grove
2:42 PM,Patrick,Rodgers
2:42 PM,Ben,Taylor
